Rank,Title,Type,IMDb Rating,Release Years,Blurb,Thumbnail URL,IMDb URL,IMDb Title ID
15,The World at War,TV Series,9.2,1973–1974,"26-part documentary series tracing World War II from the rise of Nazi Germany through the conflict's major campaigns and home fronts, using archival footage and firsthand interviews, narrated by Laurence Olivier.","https://m.media-amazon.com/images/M/MV5BM2I1OGUyNmYtZmNiOC00OGQ4LWFlNDEtYTM5ZTAxMDI4ZmMyXkEyXkFqcGc@._V1_QL75_UY133_CR10,0,90,133_.jpg",https://www.imdb.com/title/tt0071075/,tt0071075
16,Attack on Titan,TV Series,9.1,2013–2023,"In a world where humanity shelters behind towering walls from man-eating Titans, a determined teen joins the elite Survey Corps to fight the giants and uncover the secrets of their origin.","https://m.media-amazon.com/images/M/MV5BZjliODY5MzQtMmViZC00MTZmLWFhMWMtMjMwM2I3OGY1MTRiXkEyXkFqcGc@._V1_QL75_UY133_CR2,0,90,133_.jpg",https://www.imdb.com/title/tt2560140/,tt2560140
17,Fullmetal Alchemist: Brotherhood,TV Series,9.1,2009–2010,Two brothers search for a Philosopher's Stone after an attempt to revive their deceased mother goes awry and leaves them in damaged physical forms.,"https://m.media-amazon.com/images/M/MV5BMzNiODA5NjYtYWExZS00OTc4LTg3N2ItYWYwYTUyYmM5MWViXkEyXkFqcGc@._V1_QL75_UY133_CR3,0,90,133_.jpg",https://www.imdb.com/title/tt1355642/,tt1355642
18,Life,TV Mini Series,9.1,2009,"A global nature documentary exploring the extraordinary strategies animals and plants use to survive, reproduce, and thrive across Earth's diverse habitats.","https://m.media-amazon.com/images/M/MV5BZDJjMzJiMTktMWZkZi00YWY0LWJjNGUtY2ZmNTFlOThhZTA4XkEyXkFqcGc@._V1_QL75_UY133_CR0,0,90,133_.jpg",https://www.imdb.com/title/tt1533395/,tt1533395
19,The Last Dance,TV Mini Series,9,2020,"Led by Michael Jordan, the 1990s Chicago Bulls establish themselves as one of the most notable dynasties in sports history.","https://m.media-amazon.com/images/M/MV5BOTQyYmQ1N2UtYjFkNS00NzgyLTk5YTUtYjExMDdjOTA3MGU2XkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg",https://www.imdb.com/title/tt8420184/,tt8420184
20,The Twilight Zone,TV Series,9,1959–1964,"Ordinary people face uncanny and impossible events in standalone tales of science fiction, fantasy, horror, and suspense.","https://m.media-amazon.com/images/M/MV5BYjkyZmRmYmMtYTg5Zi00MjA0LTliYmQtMDU0NzBiZDcxNzA0XkEyXkFqcGc@._V1_QL75_UX90_CR0,1,90,133_.jpg",https://www.imdb.com/title/tt0052520/,tt0052520
21,The Vietnam War,TV Mini Series,9.1,2017,"A documentary series chronicling the Vietnam War through archival footage and firsthand accounts from soldiers, civilians, and leaders on all sides, tracing its origins, major events, and enduring impact on the United States and Vietnam.","https://m.media-amazon.com/images/M/MV5BYTQ1ZWYzMmQtNWU5OC00YWY0LTkyMWMtMTU0NjYxMjJkMmNjXkEyXkFqcGc@._V1_QL75_UX90_CR0,1,90,133_.jpg",https://www.imdb.com/title/tt1877514/,tt1877514
22,Rick and Morty,TV Series,9,2013–,The fractured domestic lives of a nihilistic mad scientist and his anxious grandson are further complicated by their inter-dimensional misadventures.,"https://m.media-amazon.com/images/M/MV5BZGQyZjk2MzMtMTcyNC00NGU3LTlmNjItNDExMWM4ZDFhYmQ2XkEyXkFqcGc@._V1_QL75_UX90_CR0,1,90,133_.jpg",https://www.imdb.com/title/tt2861424/,tt2861424
23,Sherlock,TV Series,9,2010–2017,"In modern-day London, brilliant but eccentric detective Sherlock Holmes teams with war veteran Dr. John Watson to crack baffling crimes, outwit formidable foes, and aid Scotland Yard with razor-sharp deduction.","https://m.media-amazon.com/images/M/MV5BMjRhZDdjMDYtMTg5Yy00NGI4LWI3ZDgtYjNkNDc4MzJkNDRjXkEyXkFqcGc@._V1_QL75_UY133_CR5,0,90,133_.jpg",https://www.imdb.com/title/tt1475582/,tt1475582
24,Batman: The Animated Series,TV Series,9,1992–1995,"Billionaire Bruce Wayne secretly operates as Batman, a vigilante who battles a rouges' gallery of criminals and supervillains in Gotham City with the aid of various sidekicks and allies.","https://m.media-amazon.com/images/M/MV5BYjgwZWUzMzUtYTFkNi00MzM0LWFkMWUtMDViMjMxNGIxNDUxXkEyXkFqcGc@._V1_QL75_UX90_CR0,1,90,133_.jpg",https://www.imdb.com/title/tt0103359/,tt0103359
