Rank,Title,Type,IMDb Rating,Release Years,Blurb,Thumbnail URL,IMDb URL,IMDb Title ID
220,Wakfu,TV Series,8.2,2007–2027,Saving the world from an evil madman? Not a problem for this kid. Finding his birth parents? That's the real adventure!,"https://m.media-amazon.com/images/M/MV5BOTU3OTI5NTMtNzllYy00Y2Q2LTkzMTAtMTI5OWVlZDgxMmNmXkEyXkFqcGc@._V1_QL75_UY133_CR1,0,90,133_.jpg",https://www.imdb.com/title/tt1807824/,tt1807824
221,Kaiji: Ultimate Survivor,TV Series,8.2,2007–2011,A young japanese man finds himself in a strange game to recover from his debts.,"https://m.media-amazon.com/images/M/MV5BZDVkNjUzY2ItODIwZi00Yjg1LWExNzQtMWMyNzEwZDhkNzJiXkEyXkFqcGc@._V1_QL75_UY133_CR2,0,90,133_.jpg",https://www.imdb.com/title/tt1202625/,tt1202625
222,Uma Musume: Cinderella Gray,TV Series,8.2,2025–,Uma Musume are racers who inherit the names and spirits of legendary racehorses from another world.,"https://m.media-amazon.com/images/M/MV5BMTJmZTY3YTAtOWZjYi00ZTIyLTkwNmEtZWFhZGViZmViY2U3XkEyXkFqcGc@._V1_QL75_UY133_CR2,0,90,133_.jpg",https://www.imdb.com/title/tt35437675/,tt35437675
223,Initial D: Second Stage,TV Series,8.2,1999–2000,The story focuses on the underground Road Racing career of high-school student/delivery boy Takumi Fujiwara and friends as they face new challenges in the Gunma area.,"https://m.media-amazon.com/images/M/MV5BZDQwM2Q0OTItMjc1My00NWZlLTkwNGQtMWJiZDYwMmUxNjBjXkEyXkFqcGc@._V1_QL75_UY133_CR4,0,90,133_.jpg",https://www.imdb.com/title/tt0247874/,tt0247874
224,Hikaru No Go,TV Series,8.2,2001–2003,A sixth-grader Hikaru Shindo accidentally awakens the spirit of a deceased Go prodigy Fujiwara no Sai who then accompanies Hikaru and helps him develop his Go skills.,"https://m.media-amazon.com/images/M/MV5BMDkxNTE0M2MtMGI4ZS00MDRkLWJiOGUtZjM4ZTFlMDUyNTg2XkEyXkFqcGc@._V1_QL75_UY133_CR2,0,90,133_.jpg",https://www.imdb.com/title/tt0426711/,tt0426711
225,Yu-Gi-Oh! Duel Monsters,TV Series,8.2,2000–2004,"Yu-Gi-Oh! follows the adventures of high school student Yugi, who has a magical secret that comes to life when he plays his favorite card game: 'Duel Monsters.","https://m.media-amazon.com/images/M/MV5BYTEwNzZmOGEtZGQ2MS00NzIxLWJkNGUtZTVlZjBmOTZlY2MzXkEyXkFqcGc@._V1_QL75_UY133_CR2,0,90,133_.jpg",https://www.imdb.com/title/tt0247902/,tt0247902
226,Beck: Mongolian Chop Squad,TV Mini Series,8.2,2004–2005,"Koyuki thinks life is a drag-until he meets Ryusuke, a local guitar hero with a bad reputation. The two misfits start a band and set out to save rock n' roll. If the guys can stay true to their vision, the whole world awaits.","https://m.media-amazon.com/images/M/MV5BYTYzMDM0ZTItMWM5Yi00MzllLWIzMWYtMjc5YTNiY2I5OTIxXkEyXkFqcGc@._V1_QL75_UX90_CR0,1,90,133_.jpg",https://www.imdb.com/title/tt0434662/,tt0434662
227,My Melody & Kuromi,TV Series,8.2,2025–,"My Melody's new cake shop thrives after finding a mysterious heart. Rival Kuromi's shop struggles. Both prepare for a contest judged by Chef Pistachio, unaware it'll endanger Mariland.","https://m.media-amazon.com/images/M/MV5BN2E5MzA1YjMtOGNmMS00YmQ1LWFhNzctNjNlNmI1Y2NkY2MwXkEyXkFqcGc@._V1_QL75_UX90_CR0,1,90,133_.jpg",https://www.imdb.com/title/tt35323313/,tt35323313
228,One Outs,TV Series,8.2,2008–2009,"Toua Tokuchi is a prodigy when it comes to both baseball and gambling. Pitching nothing but mediocre fastballs, he has made a name for himself by attaining 499 consecutive victories in the game of One Outs: a one-on-one showdown between a pitcher and a batter. Despite his remarkable abilities, however, Tokuchi sees the sport as nothing more than a way to make some quick money. When Hiromichi Kojima, a legendary hitter for the struggling Saikyou Saitama Lycaons, witnesses Tokuchi's skills firsthand, he realizes that the man might be exactly what the team needs to get out of their slump. Determined to recruit Tokuchi no matter what, Kojima places his own career on the line and defeats Tokuchi at his own specialty-One Outs. Forced to become a Lycaon, Tokuchi soon finds himself at odds with the team's owner, Tsuneo Saikawa. After Saikawa refuses to give him a reasonable salary, Tokuchi proposes a special contract: pitching an out will earn him five million yen, but giving up a run will cost him fifty million. With every game having the potential to either make or break him, Tokuchi must outwit all who stand in his way.","https://m.media-amazon.com/images/M/MV5BZDQwZDYyODAtZWI1My00Y2NlLWFjMTItZTgxOTA1MTNjNTc3XkEyXkFqcGc@._V1_QL75_UY133_CR4,0,90,133_.jpg",https://www.imdb.com/title/tt1411815/,tt1411815
229,Bunny Drop,TV Mini Series,8.2,2011–2012,A man adopts his six-year-old aunt and raises her as his own kid.,"https://m.media-amazon.com/images/M/MV5BMTM5OTJmZDAtYWRlZi00ZDYxLThiZmItODM3MjNlNDVkMTE4XkEyXkFqcGc@._V1_QL75_UX90_CR0,1,90,133_.jpg",https://www.imdb.com/title/tt2061551/,tt2061551
230,Seinto Seiya: The Lost Canvas - Meio Shinwa,TV Series,8.2,2009–2011,"Story of the Holy War taking place in the 18th century, 250 years before the original Saint Seiya series. It centers on the fight between Tenma, one of the 88 Saints following Athena, and Alone, the reincarnation of the God Hades.","https://m.media-amazon.com/images/M/MV5BMzE4NTM3OWYtNDBhMi00MzlkLTg1MzQtODFkOTk1YTZhZjdlXkEyXkFqcGc@._V1_QL75_UY133_CR4,0,90,133_.jpg",https://www.imdb.com/title/tt2152368/,tt2152368
